state,StateName,positiveIncreaseAvgT1,positiveIncreaseAvgT2,positiveIncreasePercMonth,deathIncreaseAvgT1,deathIncreaseAvgT2,deathIncreasePercMonth,totalTestResultsIncreaseAvgT1,totalTestResultsIncreaseAvgT2,totalTestResultsIncreasePercMonth,hospitalizedIncreaseAvgT1,hospitalizedIncreaseAvgT2,hospitalizedIncreasePercMonth,positivePercentageT1,positivePercentageT2,positivePercentageIncreaseMonth,repDateMinus60,repDateMinus30,repDate
AK,Alaska,97.42,277.00,184.3,0.52000000000000002,0.83999999999999997,62.5,3044.26,9756.52,220.5,.00,.00,.0,3.20,2.84,-11.25,2020-09-06,2020-10-06,2020-11-05
AL,Alabama,924.97,1272.42,37.6,9.8399999999999999,15.06,53.109999999999999,6656.45,6825.61,2.5,89.84,107.35,19.5,13.90,18.64,34.10,2020-09-06,2020-10-06,2020-11-05
AR,Arkansas,736.94,965.48,31.0,18.23,19.030000000000001,4.4199999999999999,10395.48,10121.32,-2.6,38.77,56.13,44.8,7.09,9.54,34.56,2020-09-06,2020-10-06,2020-11-05
AZ,Arizona,529.61,1022.52,93.1,16.32,12.26,-24.899999999999999,8401.48,10443.74,24.3,-49.45,-15.23,-69.2,6.30,9.79,55.40,2020-09-06,2020-10-06,2020-11-05
CA,California,3265.23,3799.74,16.4,81.739999999999995,53.740000000000002,-34.25,113358.00,127892.97,12.8,.00,.00,.0,2.88,2.97,3.13,2020-09-06,2020-10-06,2020-11-05
CO,Colorado,480.06,1437.45,199.4,3.29,5.7699999999999996,75.489999999999995,13016.45,21889.48,68.2,18.32,62.74,242.4,3.69,6.57,78.05,2020-09-06,2020-10-06,2020-11-05
CT,Connecticut,189.55,578.71,205.3,1.71,4.4800000000000004,162.25999999999999,16347.61,22796.39,39.4,13.68,18.00,31.6,1.16,2.54,118.97,2020-09-06,2020-10-06,2020-11-05
DC,District of Columbia,45.61,68.87,51.0,0.65000000000000002,0.60999999999999999,-5,3295.65,4481.74,36.0,.00,.00,.0,1.38,1.54,11.59,2020-09-06,2020-10-06,2020-11-05
DC,Washington DC,45.61,68.87,51.0,0.65000000000000002,0.60999999999999999,-5,3295.65,4481.74,36.0,.00,.00,.0,1.38,1.54,11.59,2020-09-06,2020-10-06,2020-11-05
DE,Delaware,115.29,141.61,22.8,1.23,2.29,86.840000000000003,3005.90,4046.65,34.6,.00,.00,.0,3.84,3.50,-8.85,2020-09-06,2020-10-06,2020-11-05
FL,Florida,2409.84,3458.68,43.5,96.189999999999998,73.680000000000007,-23.41,53249.52,65202.74,22.4,166.00,173.81,4.7,4.53,5.30,17.00,2020-09-06,2020-10-06,2020-11-05
GA,Georgia,1390.39,1440.45,3.6,40.390000000000001,44.710000000000001,10.699999999999999,18840.74,20625.90,9.5,117.84,104.19,-11.6,7.38,6.98,-5.42,2020-09-06,2020-10-06,2020-11-05
GU,Guam,36.87,72.61,96.9,1.29,0.96999999999999997,-25,395.84,583.94,47.5,.00,.00,.0,9.31,12.44,33.62,2020-09-06,2020-10-06,2020-11-05
HI,Hawaii,115.10,86.94,-24.5,2.4500000000000002,2.0299999999999998,-17.109999999999999,4655.10,3739.65,-19.7,9.87,7.61,-22.9,2.47,2.32,-6.07,2020-09-06,2020-10-06,2020-11-05
IA,Iowa,719.10,1331.35,85.1,7.71,13.32,72.799999999999997,4591.35,4141.61,-9.8,.00,.00,.0,15.66,32.15,105.30,2020-09-06,2020-10-06,2020-11-05
ID,Idaho,362.13,785.48,116.9,3.3900000000000001,5.8700000000000001,73.329999999999998,1831.03,2500.29,36.6,14.52,26.68,83.8,19.78,31.42,58.85,2020-09-06,2020-10-06,2020-11-05
IL,Illinois,1859.52,4761.84,156.1,22.579999999999998,40.609999999999999,79.859999999999999,51722.71,70815.87,36.9,.00,.00,.0,3.60,6.72,86.67,2020-09-06,2020-10-06,2020-11-05
IN,Indiana,902.74,2264.52,150.8,11.26,26.77,137.81999999999999,19873.45,27323.23,37.5,64.71,147.06,127.3,4.54,8.29,82.60,2020-09-06,2020-10-06,2020-11-05
KS,Kansas,564.13,951.84,68.7,7.2599999999999998,12.289999999999999,69.329999999999998,3674.23,3954.00,7.6,20.03,30.58,52.7,15.35,24.07,56.81,2020-09-06,2020-10-06,2020-11-05
KY,Kentucky,700.97,1358.68,93.8,7.2599999999999998,10.32,42.219999999999999,19324.77,17920.61,-7.3,29.32,65.29,122.7,3.63,7.58,108.82,2020-09-06,2020-10-06,2020-11-05
LA,Louisiana,583.87,674.45,15.5,17.969999999999999,13.19,-26.57,15197.94,14730.52,-3.1,.00,.00,.0,3.84,4.58,19.27,2020-09-06,2020-10-06,2020-11-05
MA,Massachusetts,443.90,958.03,115.8,13.609999999999999,17.899999999999999,31.52,56644.06,67427.77,19.0,13.81,19.94,44.4,.78,1.42,82.05,2020-09-06,2020-10-06,2020-11-05
MD,Maryland,535.39,715.26,33.6,5.5199999999999996,7.1299999999999999,29.239999999999998,22742.90,26371.97,16.0,41.13,54.52,32.5,2.35,2.71,15.32,2020-09-06,2020-10-06,2020-11-05
