state,Pop,StateName,date,PositiveIncrease,PosIncAvg,DeathIncrease,DeathIncAvg,TotalTestResultsIncrease,TestIncAvg,HospitalizedIncrease,HospIncAvg
IN,6732219,Indiana,2020-03-01,0,.0000000,0,.0000000,2,.0297079,0,.0000000
MA,6949503,Massachusetts,2020-03-01,0,.0000000,0,.0000000,4,.0431686,0,.0000000
MI,9986857,Michigan,2020-03-01,0,.0000000,0,.0000000,0,.0200263,0,.0000000
NJ,8882190,New Jersey,2020-03-01,0,.0000000,0,.0000000,0,.0112585,0,.0000000
RI,1059361,Rhode Island,2020-03-01,0,.0000000,0,.0000000,0,.0943965,0,.0000000
VA,8535519,Virginia,2020-03-01,0,.0000000,0,.0000000,2,.0117157,0,.0000000
WA,7614893,Washington,2020-03-01,16,.0262643,3,.0000000,75,.1444538,0,.0000000
IN,6732219,Indiana,2020-03-02,0,.0297079,0,.0000000,0,.1633934,0,.0000000
MA,6949503,Massachusetts,2020-03-02,0,.0287790,0,.0000000,6,.1582847,0,.0000000
MI,9986857,Michigan,2020-03-02,13,.0400526,0,.0000000,13,.1301711,0,.0000000
NJ,8882190,New Jersey,2020-03-02,0,.0450339,0,.0000000,0,.1463603,0,.0000000
RI,1059361,Rhode Island,2020-03-02,0,.3775861,0,.0000000,4,1.3215514,0,.0000000
VA,8535519,Virginia,2020-03-02,0,.0468630,0,.0000000,1,.1640205,0,.0000000
WA,7614893,Washington,2020-03-02,31,.0787930,3,.0000000,188,.3939648,0,.0000000
IN,6732219,Indiana,2020-03-03,0,.0891237,0,.0000000,2,.4456183,0,.0000000
MA,6949503,Massachusetts,2020-03-03,0,.0863371,0,.0000000,15,.4460751,0,.0000000
MI,9986857,Michigan,2020-03-03,23,.0700921,0,.0000000,23,.3304343,0,.0000000
NJ,8882190,New Jersey,2020-03-03,0,.0788094,0,.0000000,0,.3715300,0,.0000000
RI,1059361,Rhode Island,2020-03-03,0,.6607757,0,.0000000,1,3.0206889,0,.0000000
VA,8535519,Virginia,2020-03-03,0,.0820102,0,.0000000,1,.3749040,0,.0000000
WA,7614893,Washington,2020-03-03,25,.0787930,3,.0000000,226,.4990221,0,.0000000
AZ,7278717,Arizona,2020-03-04,0,.0824321,0,.0000000,0,.5220700,0,.0000000
CA,39512223,California,2020-03-04,0,.0151852,0,.0000000,0,.0885802,0,.0000000
FL,21477737,Florida,2020-03-04,0,.0139680,0,.0000000,0,.1489915,0,.0000000
GA,10617423,Georgia,2020-03-04,0,.0282554,0,.0000000,0,.3013914,0,.0000000
HI,1415872,Hawaii,2020-03-04,0,.2118836,0,.0000000,0,2.2600913,0,.0000000
IL,12671821,Illinois,2020-03-04,0,.0236746,0,.0000000,0,.2525288,0,.0000000
IN,6732219,Indiana,2020-03-04,0,.0000000,0,.0000000,4,.0000000,0,.0000000
MA,6949503,Massachusetts,2020-03-04,0,.0000000,0,.0000000,22,.0431686,0,.0000000
MI,9986857,Michigan,2020-03-04,24,.0300395,0,.0000000,24,.0700921,0,.0000000
NC,10488084,North Carolina,2020-03-04,0,.0286039,0,.0000000,0,.0667424,0,.0000000
NH,1359711,New Hampshire,2020-03-04,0,.2206351,0,.0000000,0,.5148153,0,.0000000
NJ,8882190,New Jersey,2020-03-04,0,.0337755,0,.0000000,0,.0788094,0,.0000000
NY,19453561,New York,2020-03-04,0,.0154213,0,.0000000,0,.0359831,0,.0000000
OR,4217737,Oregon,2020-03-04,0,.0711282,0,.0000000,0,.1422564,0,.0000000
RI,1059361,Rhode Island,2020-03-04,0,.2831896,0,.0000000,2,.2831896,0,.0000000
SC,5148714,South Carolina,2020-03-04,0,.0000000,0,.0000000,0,.0000000,0,.0000000
TX,28995881,Texas,2020-03-04,0,.0000000,0,.0000000,0,.0000000,0,.0000000
VA,8535519,Virginia,2020-03-04,0,.0000000,0,.0000000,1,.0000000,0,.0000000
WA,7614893,Washington,2020-03-04,38,.0656608,2,.0000000,251,.4727578,0,.0000000
WI,5822434,Wisconsin,2020-03-04,0,.0858747,0,.0000000,0,.6182981,0,.0000000
AZ,7278717,Arizona,2020-03-05,0,.0686934,0,.0000000,1,.4945927,1,.0000000
CA,39512223,California,2020-03-05,0,.0126543,0,.0000000,0,.0911110,0,.0000000
CO,5758736,Colorado,2020-03-05,0,.0868246,0,.0000000,0,.6251372,0,.0000000
DC,705749,District of Columbia,2020-03-05,0,.7084672,0,.0000000,0,5.1009637,0,.0000000
FL,21477737,Florida,2020-03-05,7,.0046560,0,.0000000,14,.0093120,0,.0000000
GA,10617423,Georgia,2020-03-05,0,.0094185,0,.0000000,0,.0188370,0,.0000000
HI,1415872,Hawaii,2020-03-05,0,.0706279,0,.0000000,1,.1412557,0,.0000000
IL,12671821,Illinois,2020-03-05,1,.0078915,0,.0000000,42,.0631322,0,.0000000
IN,6732219,Indiana,2020-03-05,0,.0148539,0,.0000000,5,.1188315,0,.0000000
MA,6949503,Massachusetts,2020-03-05,0,.0143895,0,.0000000,36,.2014533,0,.0000000
MD,6045680,Maryland,2020-03-05,0,.0165407,0,.0000000,0,.2315703,0,.0000000
MI,9986857,Michigan,2020-03-05,26,.0300395,0,.0000000,34,.1602106,0,.0000000
NC,10488084,North Carolina,2020-03-05,0,.0286039,0,.0000000,0,.1525541,0,.0000000
NE,1934408,Nebraska,2020-03-05,0,.1550862,0,.0000000,0,.8271264,0,.0000000
NH,1359711,New Hampshire,2020-03-05,0,.2206351,0,.0000000,3,.8089954,0,.0000000
NJ,8882190,New Jersey,2020-03-05,1,.0337755,0,.0000000,1,.1125848,0,.0000000
NV,3080156,Nevada,2020-03-05,0,.0973977,0,.0000000,0,.1623294,0,.0000000
NY,19453561,New York,2020-03-05,16,.0308427,0,.0000000,44,.0565449,0,.0000000
OH,11689100,Ohio,2020-03-05,0,.0171100,0,.0000000,0,.0513299,0,.0000000
OR,4217737,Oregon,2020-03-05,0,.0474188,0,.0000000,16,.2133846,0,.0000000
RI,1059361,Rhode Island,2020-03-05,1,.1887931,0,.0000000,12,.9439653,0,.0000000
SC,5148714,South Carolina,2020-03-05,0,.0388447,0,.0000000,0,.1942233,0,.0000000
TN,6833174,Tennessee,2020-03-05,0,.0292690,0,.0000000,0,.1463449,0,.0000000
TX,28995881,Texas,2020-03-05,0,.0068975,0,.0000000,0,.0344877,0,.0000000
VA,8535519,Virginia,2020-03-05,0,.0000000,0,.0000000,1,.0468630,0,.0000000
WA,7614893,Washington,2020-03-05,51,.0919251,4,.0000000,374,.7485332,0,.0000000
WI,5822434,Wisconsin,2020-03-05,0,.1202246,0,.0000000,0,.9446221,0,.0000000
AK,731545,Alaska,2020-03-06,0,.8201819,0,.0000000,0,10.2522743,0,.0000000
AR,3017825,Arkansas,2020-03-06,0,.2319551,0,.0000000,0,1.7562317,0,.0000000
AZ,7278717,Arizona,2020-03-06,1,.0961708,0,.0000000,6,.7418890,1,.0000000
