state,StateName,WeekEndDate,Week,PositiveIncrease,PositivePercChange,DeathIncrease,DeathPercChange,TestIncrease,TestPercChange,HospIncrease,HospPercChange,PositiveCum,DeathCum,TestsCum,HospCum,Pos100k,Death100k,Tests100k,Hosp100k
MA,Massachusetts,2020-02-02,5,0,0,0,0,2,100,0,0,,,4,,-999999.0000000,-999999.0000000,.0575581,-999999.0000000
WA,Washington,2020-02-02,5,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-02-09,6,0,0,0,0,7,250,0,0,,,11,,-999999.0000000,-999999.0000000,.1582847,-999999.0000000
WA,Washington,2020-02-09,6,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-02-16,7,0,0,0,0,2,-71,0,0,,,13,,-999999.0000000,-999999.0000000,.1870637,-999999.0000000
WA,Washington,2020-02-16,7,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-02-23,8,0,0,0,0,1,-50,0,0,,,14,,-999999.0000000,-999999.0000000,.2014533,-999999.0000000
NJ,New Jersey,2020-02-23,8,0,0,0,0,0,0,0,0,,0,0,,-999999.0000000,.0000000,.0000000,-999999.0000000
WA,Washington,2020-02-23,8,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-03-01,9,0,0,0,0,5,400,0,0,,,23,,-999999.0000000,-999999.0000000,.3309589,-999999.0000000
NJ,New Jersey,2020-03-01,9,0,0,0,0,0,0,0,0,,0,0,,-999999.0000000,.0000000,.0000000,-999999.0000000
WA,Washington,2020-03-01,9,18,0,5,0,42,0,0,0,34,8,117,,.4464935,.1050573,1.5364628,-999999.0000000
IN,Indiana,2020-03-08,10,1,0,0,0,23,666,0,0,2,,33,,.0297079,-999999.0000000,.4901801,-999999.0000000
